game_number,elo,depth,time,opponent_elo,last_game,outcome
0,100.0,1,0.135331634491209,100.0,0.0,0.0
1,-50.0,1,0.17868868964059012,200.0,0.0,-1.0
2,-66.66666666666667,1,0.16874120712280274,300.0,0.0,-1.0
3,-50.0,1,0.15336182117462158,400.0,0.0,-1.0
4,60.0,1,0.16623136732313368,500.0,0.0,0.0
5,83.33333333333333,1,0.15732993682225546,600.0,0.0,-1.0
6,228.57142857142858,1,0.17693713188171387,700.0,0.0,1.0
7,350.0,1,0.18575109885289118,800.0,0.0,1.0
8,411.1111111111111,1,0.20221457294389314,900.0,0.0,0.0
9,470.0,1,0.16458075576358372,1000.0,0.0,0.0
10,527.2727272727273,1,0.16822043557961783,1100.0,0.0,0.0
11,616.6666666666666,1,0.16363431969467473,1200.0,0.0,1.0
12,700.0,1,0.192248264948527,1300.0,0.0,1.0
13,778.5714285714286,1,0.18616235256195068,1400.0,0.0,1.0
14,826.6666666666666,1,0.16252607630010238,1500.0,0.0,0.0
15,850.0,1,0.16499326540076215,1600.0,0.0,-1.0
16,876.4705882352941,1,0.1652835386770743,1700.0,0.0,-1.0
17,905.5555555555555,1,0.13667840668649384,1800.0,0.0,-1.0
18,936.8421052631579,1,0.19713758385699728,1900.0,0.0,-1.0
19,1010.0,1,0.16723194528133312,2000.0,0.0,1.0
20,1042.857142857143,1,0.13879706178392684,2100.0,0.0,-1.0
21,1113.6363636363637,1,0.16632137695948282,2200.0,0.0,1.0
22,1147.8260869565217,1,0.17046642303466797,2300.0,0.0,-1.0
23,1183.3333333333333,1,0.16385399727594285,2400.0,0.0,-1.0
24,1220.0,1,0.14339621861775717,2500.0,0.0,-1.0
25,1273.076923076923,1,0.15870309417898004,2600.0,0.0,0.0
26,1311.111111111111,1,0.14735899766286215,2700.0,0.0,-1.0
27,1364.2857142857142,1,0.16909906680767353,2800.0,0.0,0.0
28,1403.448275862069,1,0.13361745968199612,2900.0,0.0,-1.0
29,1443.3333333333333,1,0.10872892233041617,3000.0,1.0,-1.0
30,100.0,2,1.0285983224247777,100.0,0.0,0.0
31,150.0,2,0.9302136166890462,200.0,0.0,0.0
32,333.3333333333333,2,1.055221335641269,300.0,0.0,1.0
33,250.0,2,2.014710017613002,400.0,0.0,-1.0
34,380.0,2,1.8199477845972234,500.0,0.0,1.0
35,350.0,2,1.70749893784523,600.0,0.0,-1.0
36,400.0,2,0.97830306103355,700.0,0.0,0.0
37,450.0,2,1.319894581005491,800.0,0.0,0.0
38,500.0,2,1.393967925048456,900.0,0.0,0.0
39,590.0,2,1.6454172903491604,1000.0,0.0,1.0
40,636.3636363636364,2,1.460905851387396,1100.0,0.0,0.0
41,716.6666666666666,2,1.6670388710208055,1200.0,0.0,1.0
42,730.7692307692307,2,1.477354605992635,1300.0,0.0,-1.0
43,778.5714285714286,2,0.8025275908018413,1400.0,0.0,0.0
44,826.6666666666666,2,1.2188134039601972,1500.0,0.0,0.0
45,875.0,2,0.5553669473271311,1600.0,0.0,0.0
46,923.5294117647059,2,0.7787375520257389,1700.0,0.0,0.0
47,972.2222222222222,2,2.0522804260253906,1800.0,0.0,0.0
48,1021.0526315789474,2,0.5939338134996819,1900.0,0.0,0.0
49,1070.0,2,0.7107350225667007,2000.0,0.0,0.0
50,1100.0,2,1.8329972137104382,2100.0,0.0,-1.0
51,1150.0,2,0.7213004153707753,2200.0,0.0,0.0
52,1182.608695652174,2,1.6813122085903003,2300.0,0.0,-1.0
53,1233.3333333333333,2,0.8748418072174335,2400.0,0.0,0.0
54,1284.0,2,0.9334541569958936,2500.0,0.0,0.0
55,1334.6153846153845,2,2.1003575921058655,2600.0,0.0,0.0
56,1385.1851851851852,2,1.180637369764612,2700.0,0.0,0.0
57,1435.7142857142858,2,1.2669442892074585,2800.0,0.0,0.0
58,1500.0,2,1.2410699007462482,2900.0,0.0,1.0
59,1536.6666666666667,2,1.0700408032065944,3000.0,1.0,-1.0
60,100.0,3,22.989992,100.0,0.0,0.0
61,150.0,3,14.534473,200.0,0.0,0.0
62,200.0,3,11.621876,300.0,0.0,0.0
63,150.0,3,20.178335,400.0,0.0,-1.0
64,220.0,3,20.17373,500.0,0.0,0.0
65,283.333333,3,15.732088,600.0,0.0,0.0
66,342.857143,3,11.19067,700.0,0.0,0.0
67,450.0,3,25.724468,800.0,0.0,1.0
68,544.444444,3,21.395522,900.0,0.0,1.0
69,550.0,3,16.437216,1000.0,0.0,-1.0
70,600.0,3,14.394647,1100.0,0.0,0.0
71,616.666667,3,23.032718,1200.0,0.0,-1.0
72,700.0,3,8.434343,1300.0,0.0,1.0
73,721.428571,3,13.532749,1400.0,0.0,-1.0
74,773.333333,3,14.292571,1500.0,0.0,0.0
75,825.0,3,12.834637,1600.0,0.0,0.0
76,852.941176,3,13.400457,1700.0,0.0,-1.0
77,905.555556,3,14.148616,1800.0,0.0,0.0
78,957.894737,3,11.67429,1900.0,0.0,0.0
79,1010.0,3,13.211119,2000.0,0.0,0.0
80,1042.857143,3,16.097777,2100.0,0.0,-1.0
81,1095.454545,3,10.346287,2200.0,0.0,0.0
82,1147.826087,3,16.760696,2300.0,0.0,0.0
83,1200.0,3,7.63002,2400.0,0.0,0.0
84,1236.0,3,17.919154,2500.0,0.0,-1.0
85,1303.846154,3,18.629216,2600.0,0.0,1.0
86,1340.740741,3,24.629967,2700.0,0.0,-1.0
87,1392.857143,3,11.09434,2800.0,0.0,0.0
88,1444.827586,3,17.16034,2900.0,0.0,0.0
89,1483.333333,3,19.757416,3000.0,1.0,-1.0
90,100.0,4,50.801287,100.0,0.0,0.0
91,150.0,4,192.291598,200.0,0.0,0.0
92,333.333333,4,102.719645,300.0,0.0,1.0
93,350.0,4,162.867198,400.0,0.0,0.0
94,460.0,4,53.674893,500.0,0.0,1.0
95,483.333333,4,48.168175,600.0,0.0,0.0
96,457.142857,4,92.734419,700.0,0.0,-1.0
97,500.0,4,315.248865,800.0,0.0,0.0
98,544.444444,4,53.715126,900.0,0.0,0.0
99,590.0,4,50.745803,1000.0,0.0,0.0
100,636.363636,4,60.072475,1100.0,0.0,0.0
101,683.333333,4,91.74715,1200.0,0.0,0.0
102,761.538462,4,140.810877,1300.0,0.0,1.0
103,807.142857,4,89.862992,1400.0,0.0,0.0
104,826.666667,4,157.550314,1500.0,0.0,-1.0
105,875.0,4,71.407943,1600.0,0.0,0.0
106,923.529412,4,27.07592,1700.0,0.0,0.0
107,972.222222,4,52.973129,1800.0,0.0,0.0
108,1000.0,4,286.24017,1900.0,0.0,-1.0
109,1050.0,4,172.870177,2000.0,0.0,0.0
110,1100.0,4,63.725912,2100.0,0.0,0.0
111,1131.818182,4,277.475646,2200.0,0.0,-1.0
112,1182.608696,4,46.205174,2300.0,0.0,0.0
113,1233.333333,4,124.32157,2400.0,0.0,0.0
114,1300.0,4,222.279042,2500.0,0.0,1.0
115,1350.0,4,94.713607,2600.0,0.0,0.0
116,1414.814815,4,280.895359,2700.0,0.0,1.0
117,1464.285714,4,31.035135,2800.0,0.0,0.0
118,1513.793103,4,81.479555,2900.0,0.0,0.0
119,1576.666667,4,112.177068,3000.0,1.0,1.0
